Time_s,depth_mm
9.294277668,7.106063047
9.303877592,7.105780079
9.316414833,7.105866968
9.355276346,7.106628954
9.364571095,7.106415492
9.373788834,7.106072968
9.385252476,7.106328602
9.424851656,7.106619004
9.433950186,7.106246718
9.443077564,7.106549528
9.454359055,7.107078179
9.495761395,7.106820058
9.504831076,7.107274258
9.51396203,7.106887076
9.523986101,7.106750552
9.565637589,7.107418215
9.574757576,7.10771605
9.58398509,7.107003728
9.59482789,7.106934222
9.635940552,7.108013915
9.645419836,7.10801886
9.654556274,7.107356173
9.664916515,7.108123104
9.708172083,7.108209994
9.717493296,7.107505105
9.726600409,7.108190122
9.736475468,7.108542566
9.778783083,7.108177713
9.787898779,7.108413506
9.797229052,7.10891737
9.809932232,7.10910104
9.84941864,7.109086144
9.858620167,7.108991821
9.867700338,7.109433613
9.878927946,7.10864681
9.921689272,7.109383979
9.930785894,7.1089819
9.940006971,7.108713828
9.951092243,7.109366595
9.992418289,7.109406308
10.00157833,7.109369083
10.01066542,7.109552753
10.02206254,7.109279735
10.06615639,7.109388954
10.0752542,7.110073971
10.08432913,7.109887813
10.09492707,7.109781112
10.13804936,7.110081435
10.14716029,7.11038919
10.15615034,7.110602653
10.16785979,7.11029238
10.20923495,7.11054058
10.21861243,7.111146201
10.22762632,7.110922817
10.23690939,7.110885592
10.27971411,7.111079183
10.28890562,7.111032036
10.29813051,7.110701921
10.31002903,7.110907921
10.3522656,7.111141255
10.36128163,7.111426682
10.37079453,7.111476316
10.38055563,7.111280237
10.42346835,7.11155823
10.43275476,7.111560688
10.44199491,7.111950388
10.45348787,7.111940437
10.49404192,7.112407076
10.50323415,7.112163821
10.51237202,7.111928028
10.52579236,7.11267263
10.56607008,7.112461685
10.57529402,7.112560954
10.58433819,7.112228351
10.59363198,7.112275527
10.63657856,7.11275952
10.64574337,7.113198824
10.65505004,7.113124373
10.66654539,7.112665197
10.70755577,7.113141757
10.71667528,7.11330058
10.72589588,7.112958087
10.73595691,7.113161599
10.77927017,7.113007721
10.78841949,7.113005233
10.79749203,7.113752323
10.80721211,7.113767219
10.85116196,7.114209011
10.86056757,7.113605878
10.8698287,7.113598445
10.87971783,7.11359347
10.9221611,7.113466897
10.9315567,7.114139505
10.94079018,7.114156889
10.95170569,7.11413456
10.99481988,7.114057621
11.00402904,7.114072487
